partner_id,partner_name,awt_mean,awt_improvement,ept_increase,combined_improvement,hdm_activation_rate
385448,Melt Pizzas - Antofagasta2,4.7,1.69,1.19,0.5,0.1191
114214,Melt Pizzas Pajaritos,3.11,-0.28,0.09,-0.37,0.009
156305,Melt Pizzas - Rancagua Centro,4.67,1.14,1.8,-0.66,0.1801
116112,Melt Pizzas - Plaza Brasil,3.31,-0.7,0.8,-1.5,0.0798
172842,Melt Pizzas - El Llano,3.02,-0.12,0.49,-0.6,0.0486
354027,Melt Pizzas - Talca Las Rastras,3.99,-0.32,0.98,-1.3,0.0983
309089,Melt Pizzas - Temuco,4.39,-0.27,1.84,-2.11,0.1838
123621,Melt Pizzas - Valparaíso,3.81,0.63,1.07,-0.44,0.107
336977,Melt Pizzas - Fernández Albano,3.72,0.2,0.46,-0.26,0.046
301337,Melt Pizzas - Lomas De San Andrés,3.43,-0.33,0.53,-0.86,0.0525
241986,Melt Pizzas - Quillota,4.63,0.47,0.38,0.08,0.0385
383649,Melt Pizzas - Calama,3.88,-0.81,1.01,-1.82,0.1015
313536,Melt Pizza - Midmall Maipú,5.92,1.47,0.94,0.53,0.0938
128581,Melt Pizzas - Machali,3.64,0.32,0.57,-0.25,0.0568
160248,Melt Pizzas - Portugal,4.48,1.93,1.29,0.64,0.1286
205727,Melt Pizzas - Villa Alemana,4.69,1.77,1.01,0.76,0.1013
327965,Melt Pizzas - Talca,3.85,-0.35,1.13,-1.49,0.1135
135160,Melt Pizzas - Quilpue,3.11,-0.16,0.54,-0.7,0.0542
